DATE,FEDFUNDS
7/1/1989,9.083333333
10/1/1989,8.613333333
1/1/1990,8.25
4/1/1990,8.243333333
7/1/1990,8.16
10/1/1990,7.743333333
1/1/1991,6.426666667
4/1/1991,5.863333333
7/1/1991,5.643333333
10/1/1991,4.816666667
1/1/1992,4.023333333
4/1/1992,3.77
7/1/1992,3.256666667
10/1/1992,3.036666667
1/1/1993,3.04
4/1/1993,3
7/1/1993,3.06
10/1/1993,2.99
1/1/1994,3.213333333
4/1/1994,3.94
7/1/1994,4.486666667
10/1/1994,5.166666667
1/1/1995,5.81
4/1/1995,6.02
7/1/1995,5.796666667
10/1/1995,5.72
1/1/1996,5.363333333
4/1/1996,5.243333333
7/1/1996,5.306666667
10/1/1996,5.28
1/1/1997,5.276666667
4/1/1997,5.523333333
7/1/1997,5.533333333
10/1/1997,5.506666667
1/1/1998,5.52
4/1/1998,5.5
7/1/1998,5.533333333
10/1/1998,4.86
1/1/1999,4.733333333
4/1/1999,4.746666667
7/1/1999,5.093333333
10/1/1999,5.306666667
1/1/2000,5.676666667
4/1/2000,6.273333333
7/1/2000,6.52
10/1/2000,6.473333333
1/1/2001,5.593333333
4/1/2001,4.326666667
7/1/2001,3.496666667
10/1/2001,2.133333333
1/1/2002,1.733333333
4/1/2002,1.75
7/1/2002,1.74
10/1/2002,1.443333333
1/1/2003,1.25
4/1/2003,1.246666667
7/1/2003,1.016666667
10/1/2003,0.996666667
1/1/2004,1.003333333
4/1/2004,1.01
7/1/2004,1.433333333
10/1/2004,1.95
1/1/2005,2.47
4/1/2005,2.943333333
7/1/2005,3.46
10/1/2005,3.98
1/1/2006,4.456666667
4/1/2006,4.906666667
7/1/2006,5.246666667
10/1/2006,5.246666667
1/1/2007,5.256666667
4/1/2007,5.25
7/1/2007,5.073333333
10/1/2007,4.496666667
1/1/2008,3.176666667
4/1/2008,2.086666667
7/1/2008,1.94
10/1/2008,0.506666667
1/1/2009,0.183333333
4/1/2009,0.18
7/1/2009,0.156666667
10/1/2009,0.12
1/1/2010,0.133333333
4/1/2010,0.193333333
7/1/2010,0.186666667
10/1/2010,0.186666667
1/1/2011,0.156666667
4/1/2011,0.093333333
7/1/2011,0.083333333
10/1/2011,0.073333333
1/1/2012,0.103333333
4/1/2012,0.153333333
7/1/2012,0.143333333
10/1/2012,0.16
1/1/2013,0.143333333
4/1/2013,0.116666667
7/1/2013,0.083333333
10/1/2013,0.086666667
1/1/2014,0.073333333
4/1/2014,0.093333333
7/1/2014,0.09
10/1/2014,0.1
1/1/2015,0.11
4/1/2015,0.123333333
7/1/2015,0.136666667
10/1/2015,0.16
1/1/2016,0.36
4/1/2016,0.373333333
7/1/2016,0.396666667
10/1/2016,0.45
1/1/2017,0.7
4/1/2017,0.95
7/1/2017,1.153333333
10/1/2017,1.203333333
1/1/2018,1.446666667
4/1/2018,1.736666667
7/1/2018,1.923333333
10/1/2018,2.22
1/1/2019,2.403333333
4/1/2019,2.396666667
7/1/2019,2.19
10/1/2019,1.643333333
1/1/2020,1.26
4/1/2020,0.06
7/1/2020,0.093333333
10/1/2020,0.09
1/1/2021,0.08
4/1/2021,0.07
7/1/2021,0.09
10/1/2021,0.08
